scenario,replicate,method,topk_precision,topk_recall,set_size,shortfall
exact_bt_mild_shift,22,marginal_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,22,source_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,22,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,22,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,22,ss_cbt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,23,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,23,source_contextual_bt,0.3333333333333333,0.5,3.0,0.0
exact_bt_mild_shift,23,fixed_target_contextual_bt,0.3333333333333333,0.5,3.0,0.0
exact_bt_mild_shift,23,fixed_target_ci_certified_bt,1.0,0.5,1.0,0.6666666666666666
exact_bt_mild_shift,23,ss_cbt,1.0,0.5,1.0,0.6666666666666666
exact_bt_mild_shift,24,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,24,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,24,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,24,fixed_target_ci_certified_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,24,ss_cbt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,25,marginal_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,25,source_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,25,fixed_target_contextual_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,25,fixed_target_ci_certified_bt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,25,ss_cbt,1.0,1.0,3.0,0.0
exact_bt_mild_shift,26,marginal_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,26,source_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,26,fixed_target_contextual_bt,0.6666666666666666,1.0,3.0,0.0
exact_bt_mild_shift,26,fixed_target_ci_certified_bt,1.0,1.0,2.0,0.3333333333333333
exact_bt_mild_shift,26,ss_cbt,1.0,1.0,2.0,0.3333333333333333
exact_bt_mild_shift,27,marginal_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,27,source_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,27,fixed_target_contextual_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,27,fixed_target_ci_certified_bt,0.6666666666666666,0.6666666666666666,3.0,0.0
exact_bt_mild_shift,27,ss_cbt,0.6666666666666666,0.6666666666666666,3.0,0.0
