scenario,replicate,method,pair,true_contrast,lower,upper,coverage,declared,correct_declaration,false_stable
exact_bt_mild_shift,0,fixed_target_contextual_bt,5-7,-0.6410371349898794,-0.7727087820380272,-0.06932576904944893,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,5-7,-0.6410371349898794,-0.7727087820380272,-0.06932576904944893,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,5-7,-0.6410371349898794,-1.0018014850775916,0.1597669339901156,1.0,0.0,0.0,0.0
exact_bt_mild_shift,0,marginal_bt,6-7,1.11247143849232,0.9778035117078578,1.517778108432773,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,source_contextual_bt,6-7,1.11247143849232,1.1661783569051272,1.8448592833417061,0.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_contextual_bt,6-7,1.11247143849232,0.97855782459049,1.73044048950882,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,fixed_target_ci_certified_bt,6-7,1.11247143849232,0.97855782459049,1.73044048950882,1.0,1.0,1.0,0.0
exact_bt_mild_shift,0,ss_cbt,6-7,1.11247143849232,0.7909825538993498,1.91801576019996,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,marginal_bt,0-1,-1.6273206572741912,-1.706172210179036,-1.1029972758480864,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,0-1,-1.6273206572741912,-1.8976134548843024,-1.2241162920103306,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,0-1,-1.6273206572741912,-1.9201365283012086,-1.2073943596109185,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,0-1,-1.6273206572741912,-1.9201365283012086,-1.2073943596109185,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,ss_cbt,0-1,-1.6273206572741912,-2.05741127496533,-1.0701196129467967,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,marginal_bt,0-2,0.9120662491426353,0.7521453208360439,1.2500749209199857,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,0-2,0.9120662491426353,1.1344852684361717,1.7517421803684696,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,0-2,0.9120662491426353,0.8136695592660295,1.4442983685007578,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,0-2,0.9120662491426353,0.8136695592660295,1.4442983685007578,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,ss_cbt,0-2,0.9120662491426353,0.4492114133637303,1.808756514403057,1.0,1.0,1.0,0.0
exact_bt_mild_shift,1,marginal_bt,0-3,0.7627188727077844,0.7944004880175961,1.3051260172048145,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,source_contextual_bt,0-3,0.7627188727077844,1.0346861328808554,1.6878322748668149,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_contextual_bt,0-3,0.7627188727077844,0.8981190904741485,1.5733671214053473,0.0,1.0,1.0,0.0
exact_bt_mild_shift,1,fixed_target_ci_certified_bt,0-3,0.7627188727077844,0.8981190904741485,1.5733671214053473,0.0,1.0,1.0,0.0
