scenario,replicate,radius,method,robust_pair_precision,robust_pair_recall,false_robust_rate,topk_precision,topk_recall,topk_f1,avg_set_size,matched_ci_z
exact_bt_mild_shift,9,0.08,ss_cbt,0.7391304347826086,0.6538461538461539,0.2608695652173913,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,9,0.18,fixed_target_ci_certified_bt,0.7083333333333334,0.6538461538461539,0.2916666666666667,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,9,0.18,fixed_target_ci_matched_bt,0.7307692307692307,0.7307692307692307,0.2692307692307692,0.5,0.5,0.5,2.0,0.35
exact_bt_mild_shift,9,0.18,ss_cbt,0.7727272727272727,0.6538461538461539,0.22727272727272727,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,9,0.28,fixed_target_ci_certified_bt,0.5416666666666666,0.5909090909090909,0.4583333333333333,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,9,0.28,fixed_target_ci_matched_bt,0.5769230769230769,0.6818181818181818,0.4230769230769231,0.5,0.5,0.5,2.0,0.35
exact_bt_mild_shift,9,0.28,ss_cbt,0.6470588235294118,0.5,0.35294117647058826,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,9,0.38,fixed_target_ci_certified_bt,0.5,0.6,0.5,0.5,0.5,0.5,2.0,
exact_bt_mild_shift,9,0.38,fixed_target_ci_matched_bt,0.5238095238095238,0.55,0.47619047619047616,1.0,0.5,0.6666666666666666,1.0,2.6
exact_bt_mild_shift,9,0.38,ss_cbt,0.6,0.45,0.4,1.0,0.5,0.6666666666666666,1.0,
exact_bt_mild_shift,10,0.0,fixed_target_ci_certified_bt,1.0,0.8928571428571429,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,10,0.0,fixed_target_ci_matched_bt,0.9259259259259259,0.8928571428571429,0.07407407407407407,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.25
exact_bt_mild_shift,10,0.0,ss_cbt,1.0,0.8928571428571429,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,
exact_bt_mild_shift,10,0.08,fixed_target_ci_certified_bt,1.0,0.9259259259259259,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,10,0.08,fixed_target_ci_matched_bt,0.9259259259259259,0.9259259259259259,0.07407407407407407,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.25
exact_bt_mild_shift,10,0.08,ss_cbt,1.0,0.7407407407407407,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,
exact_bt_mild_shift,10,0.18,fixed_target_ci_certified_bt,1.0,0.9615384615384616,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,10,0.18,fixed_target_ci_matched_bt,0.9259259259259259,0.9615384615384616,0.07407407407407407,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.25
exact_bt_mild_shift,10,0.18,ss_cbt,1.0,0.7307692307692307,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,
exact_bt_mild_shift,10,0.28,fixed_target_ci_certified_bt,0.96,0.96,0.04,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,10,0.28,fixed_target_ci_matched_bt,0.9230769230769231,0.96,0.07692307692307693,1.0,0.6666666666666666,0.8,2.0,1.1
exact_bt_mild_shift,10,0.28,ss_cbt,1.0,0.68,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,10,0.38,fixed_target_ci_certified_bt,0.92,0.9583333333333334,0.08,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,10,0.38,fixed_target_ci_matched_bt,0.8846153846153846,0.9583333333333334,0.11538461538461539,1.0,0.6666666666666666,0.8,2.0,1.1
exact_bt_mild_shift,10,0.38,ss_cbt,1.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.8,2.0,
exact_bt_mild_shift,11,0.0,fixed_target_ci_certified_bt,0.96,0.8571428571428571,0.04,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.0,fixed_target_ci_matched_bt,0.9259259259259259,0.8928571428571429,0.07407407407407407,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,11,0.0,ss_cbt,0.96,0.8571428571428571,0.04,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.08,fixed_target_ci_certified_bt,0.96,0.8571428571428571,0.04,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.08,fixed_target_ci_matched_bt,0.9259259259259259,0.8928571428571429,0.07407407407407407,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,11,0.08,ss_cbt,1.0,0.8214285714285714,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.18,fixed_target_ci_certified_bt,0.92,0.8518518518518519,0.08,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.18,fixed_target_ci_matched_bt,0.8888888888888888,0.8888888888888888,0.1111111111111111,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,11,0.18,ss_cbt,1.0,0.8148148148148148,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.28,fixed_target_ci_certified_bt,0.92,0.92,0.08,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.28,fixed_target_ci_matched_bt,0.8518518518518519,0.92,0.14814814814814814,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,11,0.28,ss_cbt,1.0,0.84,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.38,fixed_target_ci_certified_bt,0.92,0.92,0.08,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,11,0.38,fixed_target_ci_matched_bt,0.8518518518518519,0.92,0.14814814814814814,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,11,0.38,ss_cbt,1.0,0.8,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,12,0.0,fixed_target_ci_certified_bt,1.0,0.8214285714285714,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,12,0.0,fixed_target_ci_matched_bt,0.9629629629629629,0.9285714285714286,0.037037037037037035,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,12,0.0,ss_cbt,1.0,0.8214285714285714,0.0,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,12,0.08,fixed_target_ci_certified_bt,0.9130434782608695,0.9130434782608695,0.08695652173913043,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,12,0.08,fixed_target_ci_matched_bt,0.8518518518518519,1.0,0.14814814814814814,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,12,0.08,ss_cbt,0.9090909090909091,0.8695652173913043,0.09090909090909091,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,12,0.18,fixed_target_ci_certified_bt,0.8260869565217391,0.95,0.17391304347826086,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,12,0.18,fixed_target_ci_matched_bt,0.7407407407407407,1.0,0.25925925925925924,1.0,1.0,1.0,3.0,0.25
exact_bt_mild_shift,12,0.18,ss_cbt,0.8571428571428571,0.9,0.14285714285714285,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,12,0.28,fixed_target_ci_certified_bt,0.8260869565217391,1.0,0.17391304347826086,1.0,1.0,1.0,3.0,
exact_bt_mild_shift,12,0.28,fixed_target_ci_matched_bt,0.7037037037037037,1.0,0.2962962962962963,1.0,1.0,1.0,3.0,0.25
